"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.928088792E0,2.443471753E-1,-3.043210868E0,-1.301488229E1,1.336817111E1
2.938042792E0,4.373278767E-3,-1.339519484E0,-1.430601767E1,1.436859329E1
2.947995792E0,-1.843727229E-1,7.515075445E-1,-1.519678484E1,1.521647221E1
2.957948791E0,-3.423951877E-1,2.223935995E0,-1.604058718E1,1.619764065E1
2.967901791E0,-6.951368042E-1,1.902548026E0,-1.661491941E1,1.673793449E1
2.977855791E0,-1.190701195E0,8.891416454E-1,-1.563611890E1,1.570657685E1
2.987808791E0,-1.276601251E0,4.571967155E-2,-1.405251748E1,1.411045884E1
2.997761792E0,-5.432351317E-1,-3.133294827E-1,-1.380721392E1,1.382144841E1
3.007714792E0,9.489045748E-1,-1.616503698E-1,-1.347905064E1,1.351337696E1
3.017667791E0,2.835535895E0,-1.768534228E-1,-1.206855487E1,1.239844981E1
3.027621792E0,3.695645530E0,-7.106382845E-1,-1.076279794E1,1.140178154E1
3.037574791E0,3.376007194E0,-1.779596575E0,-9.828715768E0,1.054362567E1
3.047527791E0,2.965277131E0,-2.177482644E0,-9.369412885E0,1.006579341E1
3.057480792E0,1.440564048E0,-1.667742556E0,-8.951340474E0,9.218627138E0
3.067434791E0,6.579977024E-1,-2.568500280E0,-8.673729293E0,9.069935751E0
3.077387792E0,-2.885994515E-1,-3.253658592E0,-8.047410636E0,8.685067750E0
3.087340791E0,-1.091857522E0,-3.249535135E0,-7.704122944E0,8.432386482E0
3.097293791E0,-1.583185678E0,-2.548132966E0,-7.928209298E0,8.476789556E0
3.107246791E0,-1.653722979E0,-2.276932088E0,-8.463142406E0,8.918744240E0
3.117200791E0,-8.806248835E-1,-1.848133544E0,-8.903219644E0,9.135557882E0
3.127153791E0,4.291652367E-1,-1.498152398E0,-8.456882377E0,8.599273397E0
3.137106792E0,1.804031066E0,-1.210861152E0,-7.709146872E0,8.009473035E0
