"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.893130083E0,2.618935731E-1,-5.148423681E-1,-1.095616186E-1,5.879240222E-1
2.903083083E0,9.529175189E-1,-6.647831038E-1,-1.783570343E-1,1.175499725E0
2.913036083E0,1.383605590E0,-6.522129057E-1,-1.759286857E-1,1.539706792E0
2.922989083E0,1.490687112E0,-4.574732888E-1,-1.497664887E-1,1.566480091E0
2.932942083E0,1.262092555E0,-1.020153482E-1,-1.986503810E-1,1.281696814E0
2.942894083E0,5.566438204E-1,2.465522334E-1,1.253327286E-1,6.215694969E-1
2.952847083E0,-1.434225520E-1,5.528716354E-1,3.518480158E-1,6.708458093E-1
2.962800083E0,-6.114874873E-1,8.325688107E-1,3.154134303E-1,1.080080277E0
2.972753083E0,-8.317252037E-1,9.685928808E-1,2.045981687E-1,1.292980817E0
2.982706083E0,-8.795592284E-1,9.465700740E-1,1.003265262E-2,1.292176457E0
2.992659083E0,-9.442203704E-1,9.165668410E-1,-1.205748492E-1,1.321433001E0
3.002611083E0,-1.021702410E0,9.458131519E-1,-1.827506322E-1,1.404220825E0
3.012564083E0,-1.006280671E0,1.019302128E0,-1.318956435E-1,1.438392880E0
3.022517083E0,-9.316120192E-1,1.066766316E0,-1.676133603E-1,1.426178658E0
3.032470083E0,-8.512025714E-1,1.034589381E0,-1.907870454E-1,1.353262983E0
3.042423083E0,-7.395105198E-1,9.886583322E-1,-2.345943850E-1,1.256724167E0
3.052376083E0,-6.303719473E-1,9.937623668E-1,-3.791644531E-1,1.236405320E0
3.062328083E0,-6.041237962E-1,9.875122780E-1,-5.446909422E-1,1.279388246E0
3.072281083E0,-6.470522994E-1,9.243626413E-1,-6.430545580E-1,1.298707871E0
3.082234083E0,-7.000581864E-1,9.034208384E-1,-6.921951431E-1,1.336182919E0
3.092187083E0,-7.907944018E-1,9.577055115E-1,-7.874316680E-1,1.470579568E0
3.102140083E0,-8.439125553E-1,8.787695619E-1,-7.765418136E-1,1.444798094E0
3.112093083E0,-8.589451620E-1,7.286993104E-1,-6.532503480E-1,1.302123456E0
3.122046083E0,-8.671260014E-1,6.386700234E-1,-4.484960586E-1,1.166600024E0
3.131998083E0,-7.299520764E-1,4.979003531E-1,-2.362503165E-1,9.146305306E-1
3.141951083E0,-5.560044274E-1,3.572058195E-1,-1.972207367E-2,6.611549598E-1
